id,title,type,releaseyear,agecertification,runtime,productioncountries,seasons,imdbid,imdbscore,imdbvotes
LV7692666,11 Flowers Wo 11,SHOW,1960,TV-MA,176,BD,1,553724665,9.4,626
HK9720231,Happy Happy Sykt lykkelig,MOVIE,1964,R,100,US,,4380353028,2,7
CA1548755,Mystery of the 13th Guest,MOVIE,1994,PG,102,CN,,3540924884,7.1,20282
WD4212556,Kidulthood,MOVIE,2014,R,67,US,,6185448831,5.7,0
CW5928064,Lost World The,MOVIE,2006,R,189,CA,,9171592989,0.5,17
YN3414340,Field of Dreams,SHOW,1993,TV-14,69,PG,4,2740062265,1.2,11
XV5471002,Pictures of the Old World Obrazy starA Cho sveta,MOVIE,2018,R,172,US,,5140832798,7.9,11568
GC9856625,Six Ways to Sunday,MOVIE,1986,G,143,ID,,4942858941,4.9,1839
ME0188919,Early Spring Soshun,MOVIE,1987,R,190,PK,,958595828,6.3,1
TV5137849,Genevieve,MOVIE,1995,R,135,CA,,5259507142,5,37378
LG1589066,Double Life A,MOVIE,1960,PG-13,192,US,,2288191546,0.2,2908
GV6450180,Closed Curtain,MOVIE,1994,,200,US,,3228276457,7.6,3
GD0719991,Beer,MOVIE,2000,PG,151,PE,,4153822930,2.3,2602
NU8191573,Day Watch Dnevnoy dozor,MOVIE,2001,R,87,CF,,7053991687,6.5,6879
GS4560052,White Nights,MOVIE,1998,R,172,IT,,3607834857,6.3,685
UD7244515,Jerry Springer The Opera,MOVIE,1988,,186,SZ,,5622274222,4.6,78
HA0823510,Back to the Future Part III,MOVIE,1992,,127,PH,,4742041933,0.4,7
GE8511069,White Countess The,MOVIE,1991,,135,US,,1133991769,9.4,6610
FV9598896,Other Voices Other Rooms,MOVIE,1972,PG,130,RU,,5809516017,7.8,8
HT7399240,Thunderheart,MOVIE,1962,R,152,SA,,255526997,1.7,60
MH2952702,Dummy,MOVIE,2022,,138,PH,,7079230187,3,1356
UQ2314510,Wilby Wonderful,MOVIE,2018,,123,MN,,678637229,7.9,9
TN2568607,Red Sorghum Hong gao liang,MOVIE,1976,,76,MS,,3184693155,6.2,8638
TM3005467,Vida precoz y breve de Sabina Rivas La Precocious and Brief Life of Sabina Rivas The,MOVIE,1991,,71,US,,5131361338,8.2,63
BK4020376,Waste Land,MOVIE,2005,,114,GT,,6785210259,2.8,45
LC2759101,Speaking Parts,MOVIE,2001,,110,DZ,,3296473971,5.3,59161
CV2670789,No Strings Attached,MOVIE,1968,,62,PH,,9353265827,3,713
PB6332640,Talaash,MOVIE,2010,,196,DE,,6454127230,2.6,76087
RK8337506,Family Game The Kazoku gAmu,MOVIE,1990,,132,US,,412194716,7.2,82004
TR9879679,Accepted,SHOW,1981,TV-MA,111,MG,1,8176566012,0.2,0
PW7312281,Breaking Point,MOVIE,1966,,61,CR,,5528743524,5.9,4
WO6802814,Undead The,MOVIE,2008,,194,AU,,8875980217,3.9,78
TD6864360,Syriana,MOVIE,1991,,69,US,,2426879467,6.2,85039
BV2475042,Madagascar 3 Europe s Most Wanted,MOVIE,2014,,67,US,,6898903276,2.2,6
RJ3060814,Obvious Child,MOVIE,1966,,85,US,,8438654541,1.3,7
DO0894158,Kid The,MOVIE,2010,,126,VE,,744471737,3.6,5164
WQ1367210,Shadows in Paradise Varjoja paratiisissa,MOVIE,2015,,153,PF,,54021529,4.5,9142
PY9201565,Grease 2,MOVIE,1982,,93,US,,8638571372,7.5,25032
TZ0230416,Igby Goes Down,MOVIE,1961,,168,ID,,6903494936,9.9,785
JS4335050,Dimensions of Dialogue Moznosti dialogu,MOVIE,1987,,148,US,,7255150802,2.1,2095
HV1005342,Season of the Witch,MOVIE,1992,,197,TJ,,972584919,6.7,8824
NU9953651,Funeral in Berlin,MOVIE,1983,,144,PH,,5311575247,9.3,6
FP8060186,12 Rounds 2 Reloaded,MOVIE,2000,,109,PG,,9022286320,2,22
BD4808816,Hachiko A Dog s Story a.k.a. Hachi A Dog s Tale,MOVIE,2002,,199,US,,8704836502,9.8,193
BC6132102,Faust,MOVIE,1979,,171,FI,,41435605,3.2,2702
RE6987327,Farsan,MOVIE,1971,,149,BR,,9173471976,9.4,24
PW0900935,Sensation of Sight The,MOVIE,1971,PG,185,PG,,9046085872,1.2,8907
PT4216000,Palo Alto,SHOW,1965,TV-PG,92,IN,9,2514171016,2.6,1
JH4557966,High Tension Haute tension Switchblade Romance,MOVIE,2009,R,123,BO,,9416755389,7.7,67
DE0699949,Open Road The,MOVIE,1988,R,200,PF,,6491448983,6,2746
ZB6193858,Dolls,MOVIE,1995,R,82,RU,,6425382325,3.4,74
RX5815624,Once Upon a Time in Anatolia Bir zamanlar Anadolu da,MOVIE,1978,PG,113,CA,,1207608734,4.7,3
YF2308911,Back to School,MOVIE,1987,R,139,GL,,8090574327,1.5,210
QO1081809,Nightmare Alley,MOVIE,2003,R,162,TR,,8741395638,7.8,90
