person_id,id,Name,Character,Role,Imdb_id
3748,ET0803687,Robert De Niro,Travis Bickle,ACTOR,7569094338
14658,ET0803687,Jodie Foster,Iris Steensma,ACTOR,7569094338
7064,ET0803687,Albert Brooks,Tom,ACTOR,7569094338
3739,ET0803687,Harvey Keitel,Matthew Sport Higgins,ACTOR,7569094338
48933,ET0803687,Cybill Shepherd,Betsy,ACTOR,7569094338
32267,ET0803687,Peter Boyle,Wizard,ACTOR,7569094338
519612,ET0803687,Leonard Harris,Senator Charles Palantine,ACTOR,7569094338
29068,ET0803687,Diahnne Abbott,Concession Girl,ACTOR,7569094338
519613,ET0803687,Gino Ardito,Policeman at Rally,ACTOR,7569094338
3308,ET0803687,Martin Scorsese,Passenger Watching Silhouette,ACTOR,7569094338
43791,ET0803687,Murray Moston,Iris Time Keeper,ACTOR,7569094338
519614,ET0803687,Richard Higgs,Secret Service Agent,ACTOR,7569094338
519615,ET0803687,Bill Minkin,Toms Assistant (uncredited),ACTOR,7569094338
82426,ET0803687,Bob Maroff,Mafioso (uncredited),ACTOR,7569094338
7753,ET0803687,Joe Spinell,Personell Officer,ACTOR,7569094338
43279,ET0803687,Robinson Frank Adu,Angry Black Man (uncredited),ACTOR,7569094338
519616,ET0803687,Brenda Dickson,Soap Opera Woman (uncredited),ACTOR,7569094338
8424,ET0803687,Norman Matlock,Charlie T,ACTOR,7569094338
20447,ET0803687,Harry Northup,Doughboy,ACTOR,7569094338
519618,ET0803687,Harlan Cary Poe,Campaign Worker (uncredited),ACTOR,7569094338
49567,ET0803687,Steven Prince,Andy - Gun Salesman,ACTOR,7569094338
15551,ET0803687,Peter Savage,The John,ACTOR,7569094338
475303,ET0803687,Nicholas Shields,Palantines Aide (uncredited),ACTOR,7569094338
43540,ET0803687,Ralph S. Singleton,T.V. Interviewer (uncredited),ACTOR,7569094338
466061,ET0803687,Annie Gagen,Campaign Worker (uncredited),ACTOR,7569094338
212023,ET0803687,Carson Grant,Political rallier (uncredited),ACTOR,7569094338
5367,ET0803687,Mary-Pat Green,Campaign Aide (uncredited),ACTOR,7569094338
17421,ET0803687,Debbi Morgan,Girl at Columbus Circle (uncredited),ACTOR,7569094338
38141,ET0803687,Don Stroud,Policeman (uncredited),ACTOR,7569094338
811415,ET0803687,Copper Cunningham,Hooker in Cab,ACTOR,7569094338
1141852,ET0803687,Garth Avery,Iris friend,ACTOR,7569094338
1662310,ET0803687,Nat Grant,Stick-aup Man,ACTOR,7569094338
1393387,ET0803687,Billie Perkins,Iris Friend (uncredited),ACTOR,7569094338
9446,ET0803687,Catherine Scorsese,Iris Mother (newspaper article) (uncredited),ACTOR,7569094338
9451,ET0803687,Charles Scorsese,Iris Father (newspaper article) (uncredited),ACTOR,7569094338
3308,ET0803687,Martin Scorsese,,DIRECTOR,7569094338
11472,ET0803688,Graham Chapman,King Arthur or Voice of God or Middle Head or Hiccoughing Guard,ACTOR,7569094339
1549,ET0803688,John Cleese,Second Swallow-Savvy Guard or The Black Knight or Peasant 3 or Sir Launcelot the Brave or Taunting French Guard or Tim the Enchanter,ACTOR,7569094339
11474,ET0803688,Eric Idle,Dead Collector or Peasant 1 or Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot or First Swamp Castle Guard or Concorde or Roger the Shrubber or Brother Maynard,ACTOR,7569094339
11473,ET0803688,Terry Gilliam,Patsy or Green Knight or Old Man from Scene 24 (Bridgekeeper) or Sir Bors or Animator or Gorilla Hand,ACTOR,7569094339
11475,ET0803688,Terry Jones,Denniss Mother or Sir Bedevere or Left Head or Prince Herbert or Voice of Cartoon Scribe,ACTOR,7569094339
11476,ET0803688,Michael Palin,First Swallow-Savvy Guard or Dennis or Peasant 2 or Right Head or Sir Galahad the Pure or Narrator or King of Swamp Castle or Brother Maynards Brother or Leader of The Knights Who Say NI!,ACTOR,7569094339
40898,ET0803688,Connie Booth,The Witch,ACTOR,7569094339
11478,ET0803688,Carol Cleveland,Zoot or Dingo,ACTOR,7569094339
11482,ET0803688,Neil Innes,First Monk or Singing Minstrel or Page Crushed by the Rabbit or Peasant #4,ACTOR,7569094339
40899,ET0803688,Bee Duffell,Old Crone,ACTOR,7569094339
11481,ET0803688,John Young,Dead Body or Historian Frank,ACTOR,7569094339
40900,ET0803688,Rita Davies,Historians Wife,ACTOR,7569094339
40901,ET0803688,Avril Stewart,Dr. Piglet,ACTOR,7569094339
40902,ET0803688,Sally Kinghorn,Dr. Winston,ACTOR,7569094339
40903,ET0803688,Mark Zycon,Prisoner,ACTOR,7569094339
1275018,ET0803688,Elspeth Cameron,Girl in Castle Anthrax,ACTOR,7569094339
1462970,ET0803688,Mitsuko Forstater,Girl in Castle Anthrax,ACTOR,7569094339
589811,ET0803688,Sandy Johnson,Knight of Ni or Villager at Witch Burning or Musician at Wedding or Monk or Knight in Battle,ACTOR,7569094339
976111,ET0803688,Sandy Rose,Girl in Castle Anthrax,ACTOR,7569094339
1462971,ET0803688,Romilly Squire,Musician at Wedding or Villager at Witch Burning,ACTOR,7569094339
90024,ET0803688,Joni Flynn,Girl in Castle Anthrax,ACTOR,7569094339
1462991,ET0803688,Alison Walker,Girl in Castle Anthrax,ACTOR,7569094339
1462993,ET0803688,Loraine Ward,Girl in Castle Anthrax,ACTOR,7569094339
1462994,ET0803688,Anna Lanski,Girl in Castle Anthrax,ACTOR,7569094339
1462623,ET0803688,Sally Coombe,Girl in Castle Anthrax,ACTOR,7569094339
1462995,ET0803688,Vivienne MacDonald,Girl in Castle Anthrax,ACTOR,7569094339
1462975,ET0803688,Yvonne Dick,Girl in Castle Anthrax,ACTOR,7569094339
1462978,ET0803688,Daphne Darling,Girl in Castle Anthrax,ACTOR,7569094339
703435,ET0803688,Fiona Gordon,Girl in Castle Anthrax,ACTOR,7569094339
1463011,ET0803688,Judy Lamb,Girl in Castle Anthrax,ACTOR,7569094339
1462986,ET0803688,Tracy Sneddon,Girl in Castle Anthrax,ACTOR,7569094339
1462588,ET0803688,Joyce Pollner,Girl in Castle Anthrax,ACTOR,7569094339
889417,ET0803688,Mary Allen,Girl in Castle Anthrax,ACTOR,7569094339
1464056,ET0803688,Gloria Graham,Girl in Castle Anthrax,ACTOR,7569094339
1671807,ET0803688,Sylvia Taylor,Girl in Castle Anthrax,ACTOR,7569094339
11490,ET0803688,Julian Doyle,Police Sergeant (uncredited),ACTOR,7569094339
84047,ET0803688,Margarita Doyle,Peasant (uncredited),ACTOR,7569094339
1463016,ET0803688,Zack Matalon,Guard who Falls into Barrels (uncredited),ACTOR,7569094339
1463018,ET0803688,Scott Mike,Bash (Mudfighter (uncredited),ACTOR,7569094339
1463021,ET0803688,William Palin,Sir Not-Appearing-in-this-Film (uncredited),ACTOR,7569094339
11475,ET0803688,Terry Jones,Themselves (uncredited),ACTOR,7569094339
919694,ET0803688,Tom Raeburn,Guard Eating Apple (uncredited),ACTOR,7569094339
400172,ET0803688,Brian Ross,Biff (Mudfighter) (uncredited),ACTOR,7569094339
14908,ET0803688,Roy Forge Smith,Inspector End of Film (uncredited),ACTOR,7569094339
8327,ET0803688,John Thornton,Dancing Knight (uncredited),ACTOR,7569094339
156072,ET0803688,Maggie Weston,Page-turner (uncredited),ACTOR,7569094339
11475,ET0803688,Terry Jones,,DIRECTOR,7569094339
11473,ET0803688,Terry Gilliam,,DIRECTOR,7569094339
11472,ET0803689,Graham Chapman,Wise Man #2 or Brian Cohen or Biggus Dickus,ACTOR,7569094340
1549,ET0803689,John Cleese,Wise Man #1 or Reg or Jewish Official or First Centurion or Deadly Dirk or Arthur,ACTOR,7569094340
11473,ET0803689,Terry Gilliam,Man Even Further Forward or Revolutionary or Jailer or Blood and Thunder Prophet or Frank or Audience Member or Crucifee,ACTOR,7569094340
11474,ET0803689,Eric Idle,Mr. Cheeky or Stan Loretta or Harry the Haggler or Culprit Woman or Warris or Intensely Dull Youth or Jailers Assistant or Otto or Lead Singer Crucifee,ACTOR,7569094340
11475,ET0803689,Terry Jones,Mandy Cohen or Colin or Simon the Holy Man or Bob Hoskins or Saintly Passer-by or Alarmed Crucifixion Assistant,ACTOR,7569094340
11476,ET0803689,Michael Palin,Wise Man #3 or Mr. Big Nose or Francis or Mrs. A or Ex-Leper or Announcer or Ben or Pontius Pilate or Boring Prophet or Eddie or Shoe Follower or Nisus Wettus,ACTOR,7569094340
11477,ET0803689,Terence Bayler,Gregory,ACTOR,7569094340
11478,ET0803689,Carol Cleveland,Mrs. Gregory,ACTOR,7569094340
11479,ET0803689,Kenneth Colley,Jesus,ACTOR,7569094340
11482,ET0803689,Neil Innes,A Weedy Samaritan,ACTOR,7569094340
